continent,airport,year,month,flight_count
Europe,EGLL,2019,12,18134
Europe,EHAM,2019,1,12353
Europe,EHAM,2019,2,12141
Europe,EHAM,2019,3,14871
Europe,EHAM,2019,4,16731
Europe,EHAM,2019,5,17461
Europe,EHAM,2019,6,15661
Europe,EHAM,2019,7,17447
Europe,EHAM,2019,8,16066
Europe,EHAM,2019,9,16020
Europe,EHAM,2019,10,18868
Europe,EHAM,2019,11,15142
Europe,EHAM,2019,12,13666
Europe,LEMD,2019,1,14591
Europe,LEMD,2019,2,13547
Europe,LEMD,2019,3,15100
Europe,LEMD,2019,4,15417
Europe,LEMD,2019,5,16552
Europe,LEMD,2019,6,13826
Europe,LEMD,2019,7,17664
Europe,LEMD,2019,8,16947
Europe,LEMD,2019,9,16203
Europe,LEMD,2019,10,17059
Europe,LEMD,2019,11,15570
Europe,LEMD,2019,12,12094
Europe,LFPG,2019,1,15376
Europe,LFPG,2019,2,15273
Europe,LFPG,2019,3,17558
Europe,LFPG,2019,4,18835
Europe,LFPG,2019,5,19238
Europe,LFPG,2019,6,19125
Europe,LFPG,2019,7,20628
Europe,LFPG,2019,8,20815
Europe,LFPG,2019,9,19198
Europe,LFPG,2019,10,20180
Europe,LFPG,2019,11,17464
Europe,LFPG,2019,12,17227
Europe,EDDF,2020,1,15904
Europe,EDDF,2020,2,16437
Europe,EDDF,2020,3,10551
Europe,EDDF,2020,4,3120
Europe,EDDF,2020,5,3790
Europe,EDDF,2020,6,4508
Europe,EDDF,2020,7,7261
Europe,EDDF,2020,8,8333
Europe,EDDF,2020,9,8121
Europe,EDDF,2020,10,8212
Europe,EDDF,2020,11,6115
Europe,EDDF,2020,12,6534
Europe,EGLL,2020,1,18340
Europe,EGLL,2020,2,17321
Europe,EGLL,2020,3,12920
Europe,EGLL,2020,4,2590
Europe,EGLL,2020,5,3389
Europe,EGLL,2020,6,3731
Europe,EGLL,2020,7,5982
Europe,EGLL,2020,8,7632
Europe,EGLL,2020,9,7282
Europe,EGLL,2020,10,9007
Europe,EGLL,2020,11,5764
Europe,EGLL,2020,12,6382
Europe,EHAM,2020,1,13554
Europe,EHAM,2020,2,13767
Europe,EHAM,2020,3,10169
Europe,EHAM,2020,4,1935
Europe,EHAM,2020,5,2889
Europe,EHAM,2020,6,3863
Europe,EHAM,2020,7,6821
Europe,EHAM,2020,8,9650
Europe,EHAM,2020,9,9422
Europe,EHAM,2020,10,8852
Europe,EHAM,2020,11,6793
Europe,EHAM,2020,12,7455
Europe,LEMD,2020,1,12903
Europe,LEMD,2020,2,14662
Europe,LEMD,2020,3,8600
Europe,LEMD,2020,4,979
Europe,LEMD,2020,5,997
Europe,LEMD,2020,6,1640
Europe,LEMD,2020,7,4829
Europe,LEMD,2020,8,7080
Europe,LEMD,2020,9,5805
Europe,LEMD,2020,10,5482
Europe,LEMD,2020,11,4511
Europe,LEMD,2020,12,5189
Europe,LFPG,2020,1,16889
Europe,LFPG,2020,2,16349
Europe,LFPG,2020,3,11027
Europe,LFPG,2020,4,2017
Europe,LFPG,2020,5,2819
Europe,LFPG,2020,6,4695
Europe,LFPG,2020,7,8904
Europe,LFPG,2020,8,10778
Europe,LFPG,2020,9,8645
Europe,LFPG,2020,10,7816
Europe,LFPG,2020,11,5512
Europe,LFPG,2020,12,6563
Europe,EDDF,2021,1,6355
Europe,EDDF,2021,2,5385
Europe,EDDF,2021,3,6356
Europe,EDDF,2021,4,7457
Europe,EDDF,2021,5,7956
Europe,EDDF,2021,6,9594
Europe,EDDF,2021,7,13260
Europe,EDDF,2021,8,13862
Europe,EDDF,2021,9,12587
Europe,EDDF,2021,10,13795
Europe,EDDF,2021,11,13489
Europe,EDDF,2021,12,13606
Europe,EGLL,2021,1,4945
Europe,EGLL,2021,2,4023
Europe,EGLL,2021,3,4671
Europe,EGLL,2021,4,5080
Europe,EGLL,2021,5,5482
Europe,EGLL,2021,6,6700
