continent,airport,year,month,flight_count
Europe,EGLL,2020,9,6978
Europe,EGLL,2020,10,8730
Europe,EGLL,2020,11,5415
Europe,EGLL,2020,12,5939
Europe,EHAM,2020,1,15121
Europe,EHAM,2020,2,14768
Europe,EHAM,2020,3,10945
Europe,EHAM,2020,4,1801
Europe,EHAM,2020,5,2653
Europe,EHAM,2020,6,3830
Europe,EHAM,2020,7,7313
Europe,EHAM,2020,8,10142
Europe,EHAM,2020,9,9453
Europe,EHAM,2020,10,8669
Europe,EHAM,2020,11,6537
Europe,EHAM,2020,12,7189
Europe,LEMD,2020,1,14336
Europe,LEMD,2020,2,14291
Europe,LEMD,2020,3,8989
Europe,LEMD,2020,4,1046
Europe,LEMD,2020,5,1169
Europe,LEMD,2020,6,1590
Europe,LEMD,2020,7,4702
Europe,LEMD,2020,8,6921
Europe,LEMD,2020,9,5610
Europe,LEMD,2020,10,5281
Europe,LEMD,2020,11,4525
Europe,LEMD,2020,12,5576
Europe,LFPG,2020,1,15503
Europe,LFPG,2020,2,15581
Europe,LFPG,2020,3,10508
Europe,LFPG,2020,4,1774
Europe,LFPG,2020,5,2447
Europe,LFPG,2020,6,4243
Europe,LFPG,2020,7,8494
Europe,LFPG,2020,8,10292
Europe,LFPG,2020,9,8251
Europe,LFPG,2020,10,7433
Europe,LFPG,2020,11,5050
Europe,LFPG,2020,12,6144
Europe,EDDF,2021,1,5976
Europe,EDDF,2021,2,5034
Europe,EDDF,2021,3,5993
Europe,EDDF,2021,4,7112
Europe,EDDF,2021,5,7451
Europe,EDDF,2021,6,9341
Europe,EDDF,2021,7,12993
Europe,EDDF,2021,8,13691
Europe,EDDF,2021,9,12362
Europe,EDDF,2021,10,14124
Europe,EDDF,2021,11,13197
Europe,EDDF,2021,12,13314
Europe,EGLL,2021,1,4551
Europe,EGLL,2021,2,3723
Europe,EGLL,2021,3,4280
Europe,EGLL,2021,4,4734
Europe,EGLL,2021,5,5161
Europe,EGLL,2021,6,6330
Europe,EGLL,2021,7,7791
Europe,EGLL,2021,8,9129
Europe,EGLL,2021,9,9542
Europe,EGLL,2021,10,11538
Europe,EGLL,2021,11,10877
Europe,EGLL,2021,12,11873
Europe,EHAM,2021,1,6637
Europe,EHAM,2021,2,4980
Europe,EHAM,2021,3,5654
Europe,EHAM,2021,4,6575
Europe,EHAM,2021,5,7369
Europe,EHAM,2021,6,9440
Europe,EHAM,2021,7,13888
Europe,EHAM,2021,8,15196
Europe,EHAM,2021,9,13760
Europe,EHAM,2021,10,15350
Europe,EHAM,2021,11,13308
Europe,EHAM,2021,12,14635
Europe,LEMD,2021,1,4457
Europe,LEMD,2021,2,4326
Europe,LEMD,2021,3,4967
Europe,LEMD,2021,4,5568
Europe,LEMD,2021,5,6253
Europe,LEMD,2021,6,8253
Europe,LEMD,2021,7,10934
Europe,LEMD,2021,8,11095
Europe,LEMD,2021,9,10024
Europe,LEMD,2021,10,10807
Europe,LEMD,2021,11,10968
Europe,LEMD,2021,12,12092
Europe,LFPG,2021,1,6194
Europe,LFPG,2021,2,5412
Europe,LFPG,2021,3,5881
Europe,LFPG,2021,4,6204
Europe,LFPG,2021,5,6393
Europe,LFPG,2021,6,8416
Europe,LFPG,2021,7,12487
Europe,LFPG,2021,8,13617
Europe,LFPG,2021,9,10910
Europe,LFPG,2021,10,12144
Europe,LFPG,2021,11,12335
Europe,LFPG,2021,12,13831
Europe,EDDF,2022,1,11549
Europe,EDDF,2022,2,10278
Europe,EDDF,2022,3,12294
Europe,EDDF,2022,4,15247
Europe,EDDF,2022,5,16770
Europe,EGLL,2022,1,10374
Europe,EGLL,2022,2,9335
Europe,EGLL,2022,3,12963
Europe,EGLL,2022,4,15649
Europe,EGLL,2022,5,16321
Europe,EHAM,2022,1,12764
Europe,EHAM,2022,2,11668
Europe,EHAM,2022,3,14670
Europe,EHAM,2022,4,16883
Europe,EHAM,2022,5,18756
Europe,LEMD,2022,1,11202
Europe,LEMD,2022,2,10220
Europe,LEMD,2022,3,12158
Europe,LEMD,2022,4,13445
Europe,LEMD,2022,5,14020
Europe,LFPG,2022,1,11592
Europe,LFPG,2022,2,10679
Europe,LFPG,2022,3,13456
Europe,LFPG,2022,4,15744
Europe,LFPG,2022,5,16859
North Americas,KATL,2019,1,1
North Americas,KATL,2019,2,3
North Americas,KATL,2019,3,7
North Americas,KATL,2019,4,5989
North Americas,KATL,2019,5,28980
North Americas,KATL,2019,6,30076
North Americas,KATL,2019,7,33475
North Americas,KATL,2019,8,30546
North Americas,KATL,2019,9,24232
North Americas,KATL,2019,10,26824
North Americas,KATL,2019,11,23471
North Americas,KATL,2019,12,34105
North Americas,KDEN,2019,1,15496
North Americas,KDEN,2019,2,15295
North Americas,KDEN,2019,3,18317
North Americas,KDEN,2019,4,18466
North Americas,KDEN,2019,5,20031
North Americas,KDEN,2019,6,20650
North Americas,KDEN,2019,7,23435
North Americas,KDEN,2019,8,23979
North Americas,KDEN,2019,9,22198
North Americas,KDEN,2019,10,24316
North Americas,KDEN,2019,11,22577
North Americas,KDEN,2019,12,23174
North Americas,KDFW,2019,1,21694
North Americas,KDFW,2019,2,19782
North Americas,KDFW,2019,3,23096
North Americas,KDFW,2019,4,22485
North Americas,KDFW,2019,5,24868
North Americas,KDFW,2019,6,24622
North Americas,KDFW,2019,7,26910
North Americas,KDFW,2019,8,27643
North Americas,KDFW,2019,9,25939
North Americas,KDFW,2019,10,28540
North Americas,KDFW,2019,11,27616
North Americas,KDFW,2019,12,27661
North Americas,KLAX,2019,1,22459
North Americas,KLAX,2019,2,20862
North Americas,KLAX,2019,3,24196
North Americas,KLAX,2019,4,24358
North Americas,KLAX,2019,5,25375
North Americas,KLAX,2019,6,25517
North Americas,KLAX,2019,7,27975
North Americas,KLAX,2019,8,28386
North Americas,KLAX,2019,9,24211
North Americas,KLAX,2019,10,26857
North Americas,KLAX,2019,11,25678
North Americas,KLAX,2019,12,25994
North Americas,KORD,2019,1,20929
North Americas,KORD,2019,2,21529
North Americas,KORD,2019,3,27178
North Americas,KORD,2019,4,27596
North Americas,KORD,2019,5,30054
North Americas,KORD,2019,6,29746
North Americas,KORD,2019,7,32495
North Americas,KORD,2019,8,35264
North Americas,KORD,2019,9,32361
North Americas,KORD,2019,10,37250
North Americas,KORD,2019,11,34783
North Americas,KORD,2019,12,35257
North Americas,KATL,2020,1,34765
North Americas,KATL,2020,2,33531
North Americas,KATL,2020,3,30372
North Americas,KATL,2020,4,10061
North Americas,KATL,2020,5,9113
North Americas,KATL,2020,6,11887
North Americas,KATL,2020,7,19465
North Americas,KATL,2020,8,23268
North Americas,KATL,2020,9,21799
North Americas,KATL,2020,10,23010
North Americas,KATL,2020,11,23877
North Americas,KATL,2020,12,25829
North Americas,KDEN,2020,1,23049
North Americas,KDEN,2020,2,22924
North Americas,KDEN,2020,3,21627
North Americas,KDEN,2020,4,9065
North Americas,KDEN,2020,5,9387
North Americas,KDEN,2020,6,11568
North Americas,KDEN,2020,7,16335
North Americas,KDEN,2020,8,19186
North Americas,KDEN,2020,9,17231
North Americas,KDEN,2020,10,19361
