period,origin_country,dest_country,flight_count
TP3,法国,加拿大,2925
TP3,法国,瑞士,12657
TP3,法国,德国,21128
TP3,法国,西班牙,27781
TP3,法国,北爱尔兰,17251
TP3,法国,印度,1485
TP3,法国,意大利,20859
TP3,法国,日本,1301
TP3,法国,荷兰,8929
TP3,法国,俄罗斯,1797
TP3,法国,土耳其,4244
TP3,法国,美国,10390
TP3,北爱尔兰,澳大利亚,61
TP3,北爱尔兰,巴西,394
TP3,北爱尔兰,加拿大,3395
TP3,北爱尔兰,瑞士,11089
TP3,北爱尔兰,德国,31860
TP3,北爱尔兰,西班牙,44715
TP3,北爱尔兰,法国,15357
TP3,北爱尔兰,印度,3074
TP3,北爱尔兰,意大利,21817
TP3,北爱尔兰,日本,1292
TP3,北爱尔兰,荷兰,16306
TP3,北爱尔兰,俄罗斯,2064
TP3,北爱尔兰,土耳其,6132
TP3,北爱尔兰,美国,25452
TP3,印度,澳大利亚,141
TP3,印度,巴西,16
TP3,印度,加拿大,873
TP3,印度,瑞士,206
TP3,印度,德国,3182
TP3,印度,西班牙,64
TP3,印度,法国,1204
TP3,印度,北爱尔兰,3127
TP3,印度,意大利,240
TP3,印度,日本,524
TP3,印度,荷兰,638
TP3,印度,新西兰,2
TP3,印度,俄罗斯,401
TP3,印度,土耳其,1088
TP3,印度,美国,3080
TP3,意大利,巴西,108
TP3,意大利,加拿大,393
TP3,意大利,瑞士,8203
TP3,意大利,德国,33085
TP3,意大利,西班牙,24086
TP3,意大利,法国,19015
TP3,意大利,北爱尔兰,20911
TP3,意大利,印度,170
TP3,意大利,日本,308
TP3,意大利,荷兰,11025
TP3,意大利,俄罗斯,2708
TP3,意大利,土耳其,2957
TP3,意大利,美国,4756
TP3,日本,澳大利亚,1117
TP3,日本,加拿大,954
TP3,日本,瑞士,147
TP3,日本,德国,1729
TP3,日本,西班牙,10
TP3,日本,法国,1416
TP3,日本,北爱尔兰,1326
TP3,日本,印度,743
TP3,日本,意大利,119
TP3,日本,荷兰,750
TP3,日本,新西兰,93
TP3,日本,俄罗斯,408
TP3,日本,土耳其,195
TP3,日本,美国,16192
TP3,荷兰,巴西,1109
TP3,荷兰,加拿大,1690
TP3,荷兰,瑞士,5776
TP3,荷兰,德国,15967
TP3,荷兰,西班牙,18159
TP3,荷兰,法国,8369
TP3,荷兰,北爱尔兰,16208
TP3,荷兰,印度,606
TP3,荷兰,意大利,12230
TP3,荷兰,日本,472
TP3,荷兰,俄罗斯,1867
TP3,荷兰,土耳其,4126
TP3,荷兰,美国,10889
TP3,新西兰,澳大利亚,4727
TP3,新西兰,巴西,1
TP3,新西兰,加拿大,172
TP3,新西兰,北爱尔兰,1
TP3,新西兰,印度,2
TP3,新西兰,日本,72
TP3,新西兰,美国,1005
TP3,俄罗斯,澳大利亚,7
TP3,俄罗斯,巴西,8
TP3,俄罗斯,加拿大,12
TP3,俄罗斯,瑞士,2198
TP3,俄罗斯,德国,7834
TP3,俄罗斯,西班牙,1403
TP3,俄罗斯,法国,1475
TP3,俄罗斯,北爱尔兰,2512
TP3,俄罗斯,印度,306
TP3,俄罗斯,意大利,2905
TP3,俄罗斯,日本,427
TP3,俄罗斯,荷兰,2012
TP3,俄罗斯,土耳其,10403
TP3,俄罗斯,美国,1085
TP3,土耳其,澳大利亚,3
TP3,土耳其,巴西,254
TP3,土耳其,加拿大,352
TP3,土耳其,瑞士,4389
TP3,土耳其,德国,21514
TP3,土耳其,西班牙,2457
TP3,土耳其,法国,4199
TP3,土耳其,北爱尔兰,6032
TP3,土耳其,印度,924
TP3,土耳其,意大利,3071
TP3,土耳其,日本,129
TP3,土耳其,荷兰,3525
TP3,土耳其,俄罗斯,9687
TP3,土耳其,美国,2624
TP3,美国,澳大利亚,3698
TP3,美国,巴西,5796
TP3,美国,加拿大,69291
TP3,美国,瑞士,3243
TP3,美国,德国,20886
TP3,美国,西班牙,4512
TP3,美国,法国,10501
TP3,美国,北爱尔兰,26061
TP3,美国,印度,3136
TP3,美国,意大利,4952
TP3,美国,日本,12892
TP3,美国,荷兰,12076
TP3,美国,新西兰,1100
TP3,美国,俄罗斯,1323
TP3,美国,土耳其,3375
TP4,澳大利亚,加拿大,157
TP4,澳大利亚,瑞士,4
TP4,澳大利亚,德国,25
TP4,澳大利亚,西班牙,3
TP4,澳大利亚,法国,25
TP4,澳大利亚,北爱尔兰,286
TP4,澳大利亚,印度,402
TP4,澳大利亚,意大利,3
TP4,澳大利亚,日本,270
TP4,澳大利亚,荷兰,8
TP4,澳大利亚,新西兰,1713
TP4,澳大利亚,美国,1222
TP4,加拿大,澳大利亚,155
TP4,加拿大,瑞士,288
TP4,加拿大,德国,1181
TP4,加拿大,西班牙,189
TP4,加拿大,法国,992
TP4,加拿大,北爱尔兰,1818
TP4,加拿大,印度,521
TP4,加拿大,意大利,153
TP4,加拿大,日本,120
TP4,加拿大,荷兰,565
TP4,加拿大,新西兰,48
TP4,加拿大,波兰,129
TP4,加拿大,葡萄牙,383
TP4,加拿大,土耳其,206
TP4,加拿大,美国,45689
TP4,瑞士,澳大利亚,1
TP4,瑞士,加拿大,305
TP4,瑞士,德国,9699
TP4,瑞士,西班牙,6228
TP4,瑞士,法国,6448
TP4,瑞士,北爱尔兰,10737
TP4,瑞士,印度,53
TP4,瑞士,意大利,3724
TP4,瑞士,日本,19
TP4,瑞士,荷兰,3020
TP4,瑞士,波兰,1063
TP4,瑞士,葡萄牙,3013
TP4,瑞士,土耳其,1605
TP4,瑞士,美国,1971
TP4,德国,加拿大,1297
TP4,德国,瑞士,9439
TP4,德国,西班牙,21435
TP4,德国,法国,11576
TP4,德国,北爱尔兰,16246
TP4,德国,印度,807
TP4,德国,意大利,15681
TP4,德国,日本,400
TP4,德国,荷兰,6984
TP4,德国,波兰,6729
TP4,德国,葡萄牙,5118
TP4,德国,土耳其,6821
TP4,德国,美国,8108
TP4,西班牙,澳大利亚,2
TP4,西班牙,加拿大,166
TP4,西班牙,瑞士,5626
TP4,西班牙,德国,20730
TP4,西班牙,法国,12290
TP4,西班牙,北爱尔兰,23573
TP4,西班牙,印度,9
TP4,西班牙,意大利,12057
TP4,西班牙,日本,1
TP4,西班牙,荷兰,6606
TP4,西班牙,波兰,1661
TP4,西班牙,葡萄牙,5929
TP4,西班牙,土耳其,980
TP4,西班牙,美国,2857
TP4,法国,澳大利亚,1
TP4,法国,加拿大,949
TP4,法国,瑞士,6173
TP4,法国,德国,11829
TP4,法国,西班牙,12755
TP4,法国,北爱尔兰,12376
TP4,法国,印度,469
TP4,法国,意大利,12101
TP4,法国,日本,313
TP4,法国,荷兰,4125
TP4,法国,波兰,1913
TP4,法国,葡萄牙,7033
TP4,法国,土耳其,1771
TP4,法国,美国,5380
TP4,北爱尔兰,澳大利亚,255
TP4,北爱尔兰,加拿大,1794
TP4,北爱尔兰,瑞士,9706
TP4,北爱尔兰,德国,16590
TP4,北爱尔兰,西班牙,25104
TP4,北爱尔兰,法国,11947
TP4,北爱尔兰,印度,921
TP4,北爱尔兰,意大利,13602
TP4,北爱尔兰,日本,244
